id,question,description,result,externalLink,voteDate
119039,"On the Nomination PN32: Wilbur L. Ross, Jr., of Florida, to be Secretary of Commerce",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s73,2017-02-27T19:01:00
119034,"Motion to Invoke Cloture on Wilbur L. Ross, Jr., of Florida, to be Secretary of Commerce: Wilbur L. Ross, Jr., of Florida, to be Secretary of Commerce",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s72,2017-02-17T13:17:00
119033,"On the Nomination PN44: Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s71,2017-02-17T13:03:00
119032,"On the Motion (Motion to Extend Debate Re: Pruitt Nomination): Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",,Motion Rejected,https://www.govtrack.us/congress/votes/115-2017/s70,2017-02-17T12:35:00
119029,"Motion to Invoke Cloture re Nomination of Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency: Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s69,2017-02-16T11:16:00
119028,"On the Nomination PN54: Mick Mulvaney, of South Carolina, to be Director of the Office of Management and Budget",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s68,2017-02-16T10:42:00
119021,"Motion to Invoke Cloture: Mick Mulvaney to be Director of the Office of Management and Budget: Mick Mulvaney, of South Carolina, to be Director of the Office of Management and Budget",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s67,2017-02-15T11:04:00
119022,"H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s66,2017-02-15T10:31:00
119015,"On the Nomination PN48: Linda E. McMahon, of Connecticut, to be Administrator of the Small Business Administration",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s65,2017-02-14T11:01:00
119014,"On the Nomination PN39: David J. Shulkin, of Pennsylvania, to be Secretary of Veterans Affairs",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s64,2017-02-13T19:39:00
119013,"On the Nomination PN26: Steven T. Mnuchin, of California, to be Secretary of the Treasury",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s63,2017-02-13T19:04:00
119009,"Motion to Invoke Cloture on the Nomination of Steven T. Mnuchin, of California, to be Secretary of the Treasury.: Steven T. Mnuchin, of California, to be Secretary of the Treasury",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s62,2017-02-10T02:17:00
119010,"On the Nomination PN33: Thomas Price, of Georgia, to be Secretary of Health and Human Services",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s61,2017-02-10T01:46:00
119007,"Motion to Invoke Cloture Re: Nomination of Tom Price to be Secretary of Health and Human Services: Thomas Price, of Georgia, to be Secretary of Health and Human Services",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s60,2017-02-08T19:25:00
119008,"On the Nomination PN30: Jeff Sessions, of Alabama, to be Attorney General",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s59,2017-02-08T18:58:00
119004,"On the Motion (Shall the Senator be Permitted to Proceed in Order?): Jeff Sessions, of Alabama, to be Attorney General",,Motion Rejected,https://www.govtrack.us/congress/votes/115-2017/s58,2017-02-07T21:06:00
119006,"On the Decision of the Chair PN30: Jeff Sessions, of Alabama, to be Attorney General",,Decision of Chair Sustained,https://www.govtrack.us/congress/votes/115-2017/s57,2017-02-07T20:43:00
119005,"On the Motion for Attendance PN30: Jeff Sessions, of Alabama, to be Attorney General",,Motion for Attendance Agreed to,https://www.govtrack.us/congress/votes/115-2017/s56,2017-02-07T20:01:00
119000,"Motion to Invoke Cloture on the Nomination of Jeff Sessions, of Alabama, to be Attorney General: Jeff Sessions, of Alabama, to be Attorney General",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s55,2017-02-07T12:31:00
118997,"On the Nomination PN37: Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s54,2017-02-07T12:02:00
118996,"On the Motion for Attendance PN37: Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",,Motion for Attendance Agreed to,https://www.govtrack.us/congress/votes/115-2017/s53,2017-02-06T18:04:00
118991,"Motion to Invoke Cloture on the Nomination of Elisabeth DeVos to be Secretary of Education: Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s52,2017-02-03T06:56:00
118992,"H.J.Res. 41: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to “Disclosure of Payments by Resource Extraction Issuers”.",On the Joint Resolution in the Senate,Joint Resolution Passed,https://www.govtrack.us/congress/votes/115-2017/s51,2017-02-03T06:34:00
118990,"Motion to Proceed on H.J.Res. 41: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to “Disclosure of Payments by Resource Extraction Issuers”.",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s50,2017-02-02T17:13:00
118987,Motion to Proceed to Legislative Session,,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s49,2017-02-02T16:53:00
118989,"On the Motion to Proceed PN26: Steven T. Mnuchin, of California, to be Secretary of the Treasury",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s48,2017-02-02T16:32:00
118988,Motion to Proceed to Legislative Session,,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s47,2017-02-02T16:08:00
118986,"On the Motion to Proceed PN33: Thomas Price, of Georgia, to be Secretary of Health and Human Services",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s46,2017-02-02T15:46:00
118985,Motion to Proceed to Legislative Session,,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s45,2017-02-02T15:27:00
118981,"On the Motion to Proceed PN30: Jeff Sessions, of Alabama, to be Attorney General",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s44,2017-02-02T15:06:00
118983,H.J.Res. 38: Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,On Passage of the Bill in the Senate,Bill Passed,https://www.govtrack.us/congress/votes/115-2017/s43,2017-02-02T14:37:00
118978,Motion to Proceed on H.J.Res. 38: Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s42,2017-02-01T18:24:00
118977,Motion to Proceed to Legislative Session,,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s41,2017-02-01T17:53:00
118976,"On the Motion to Proceed PN37: Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s40,2017-02-01T16:12:00
118975,"On the Motion (Shall the Journal Stand Approved to Date?): Rex W. Tillerson, of Texas, to be Secretary of State",,Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s39,2017-02-01T15:47:00
118972,Motion to Proceed to Legislative Session,,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s38,2017-02-01T15:24:00
118971,"On the Motion to Table PN25: Rex W. Tillerson, of Texas, to be Secretary of State",,Motion to Table Agreed to,https://www.govtrack.us/congress/votes/115-2017/s37,2017-02-01T14:59:00
118970,"On the Nomination PN25: Rex W. Tillerson, of Texas, to be Secretary of State",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s36,2017-02-01T14:31:00
118965,"On the Nomination PN35: Elaine L. Chao, of Kentucky, to be Secretary of Transportation",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s35,2017-01-31T12:33:00
118964,"Motion to Invoke Cloture on the Nomination of Rex W. Tillerson, of Texas, to be Secretary of State: Rex W. Tillerson, of Texas, to be Secretary of State",,Cloture Motion Agreed to,https://www.govtrack.us/congress/votes/115-2017/s34,2017-01-30T17:25:00
118961,"On the Nomination PN51 and PN50: Nikki R. Haley, of South Carolina, to be the Representative of the United States of America to the United Nations, with the rank and status of Ambassador, and the Representative of the United States of America in the Security Council of the United Nations",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s33,2017-01-24T17:31:00
118956,"On the Nomination PN43: Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s32,2017-01-23T19:01:00
118952,"On the Motion to Proceed PN43: Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency",,Motion to Proceed Agreed to,https://www.govtrack.us/congress/votes/115-2017/s31,2017-01-20T18:16:00
118951,"On the Nomination PN40: John F. Kelly, of Virginia, to be Secretary of Homeland Security",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s30,2017-01-20T17:57:00
118953,"On the Nomination PN29: James Mattis, of Washington, to be Secretary of Defense",,Nomination Confirmed,https://www.govtrack.us/congress/votes/115-2017/s29,2017-01-20T16:55:00
118950,H.R. 72: GAO Access and Oversight Act of 2017,On Passage of the Bill in the Senate,Bill Passed,https://www.govtrack.us/congress/votes/115-2017/s28,2017-01-17T16:43:00
