id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
44112,Rep. Cheri Bustos [D-IL17],"Bustos, Cheri (Rep.) [D-IL17]",Democrat,IL,17,1/3/2017,1/3/2019,
44113,Rep. Jackie Walorski [R-IN2],"Walorski, Jackie (Rep.) [R-IN2]",Republican,IN,2,1/3/2017,1/3/2019,
44114,Rep. Susan Brooks [R-IN5],"Brooks, Susan (Rep.) [R-IN5]",Republican,IN,5,1/3/2017,1/3/2019,
44115,Rep. Luke Messer [R-IN6],"Messer, Luke (Rep.) [R-IN6]",Republican,IN,6,1/3/2017,1/3/2019,
44116,Rep. Garland “Andy” Barr [R-KY6],"Barr, Garland “Andy” (Rep.) [R-KY6]",Republican,KY,6,1/3/2017,1/3/2019,
44117,Rep. Joseph Kennedy [D-MA4],"Kennedy, Joseph (Rep.) [D-MA4]",Democrat,MA,4,1/3/2017,1/3/2019,
44118,Rep. John Delaney [D-MD6],"Delaney, John (Rep.) [D-MD6]",Democrat,MD,6,1/3/2017,1/3/2019,
44119,Rep. Daniel Kildee [D-MI5],"Kildee, Daniel (Rep.) [D-MI5]",Democrat,MI,5,1/3/2017,1/3/2019,
44120,Rep. Ann Wagner [R-MO2],"Wagner, Ann (Rep.) [R-MO2]",Republican,MO,2,1/3/2017,1/3/2019,
44121,Rep. Richard Hudson [R-NC8],"Hudson, Richard (Rep.) [R-NC8]",Republican,NC,8,1/3/2017,1/3/2019,
44122,Rep. Robert Pittenger [R-NC9],"Pittenger, Robert (Rep.) [R-NC9]",Republican,NC,9,1/3/2017,1/3/2019,
44123,Rep. Mark Meadows [R-NC11],"Meadows, Mark (Rep.) [R-NC11]",Republican,NC,11,1/3/2017,1/3/2019,
44124,Rep. George Holding [R-NC2],"Holding, George (Rep.) [R-NC2]",Republican,NC,2,1/3/2017,1/3/2019,
44125,Rep. Kevin Cramer [R-ND0],"Cramer, Kevin (Rep.) [R-ND0]",Republican,ND,0,1/3/2017,1/3/2019,
44126,Rep. Ann Kuster [D-NH2],"Kuster, Ann (Rep.) [D-NH2]",Democrat,NH,2,1/3/2017,1/3/2019,
44127,Rep. Michelle Lujan Grisham [D-NM1],"Lujan Grisham, Michelle (Rep.) [D-NM1]",Democrat,NM,1,1/3/2017,1/3/2019,
44128,Rep. Grace Meng [D-NY6],"Meng, Grace (Rep.) [D-NY6]",Democrat,NY,6,1/3/2017,1/3/2019,
44129,Rep. Hakeem Jeffries [D-NY8],"Jeffries, Hakeem (Rep.) [D-NY8]",Democrat,NY,8,1/3/2017,1/3/2019,
44130,Rep. Sean Maloney [D-NY18],"Maloney, Sean (Rep.) [D-NY18]",Democrat,NY,18,1/3/2017,1/3/2019,
44131,Rep. Chris Collins [R-NY27],"Collins, Chris (Rep.) [R-NY27]",Republican,NY,27,1/3/2017,1/3/2019,
