id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
44258,Rep. Adriano Espaillat [D-NY13],"Espaillat, Adriano (Rep.) [D-NY13]",Democrat,NY,13,1/3/2017,1/3/2019,
44259,Rep. John Faso [R-NY19],"Faso, John (Rep.) [R-NY19]",Republican,NY,19,1/3/2017,1/3/2019,
44260,Rep. Claudia Tenney [R-NY22],"Tenney, Claudia (Rep.) [R-NY22]",Republican,NY,22,1/3/2017,1/3/2019,
44261,Rep. Brian Fitzpatrick [R-PA8],"Fitzpatrick, Brian (Rep.) [R-PA8]",Republican,PA,8,1/3/2017,1/3/2019,
44262,Rep. Lloyd Smucker [R-PA16],"Smucker, Lloyd (Rep.) [R-PA16]",Republican,PA,16,1/3/2017,1/3/2019,
44263,Commish. Jenniffer González-Colón [R-PR0],"González-Colón, Jenniffer (Commish.) [R-PR0]",Republican,PR,0,1/3/2017,1/3/2019,
44264,Rep. David Kustoff [R-TN8],"Kustoff, David (Rep.) [R-TN8]",Republican,TN,8,1/3/2017,1/3/2019,
44265,Rep. Vicente Gonzalez [D-TX15],"Gonzalez, Vicente (Rep.) [D-TX15]",Democrat,TX,15,1/3/2017,1/3/2019,
44266,Rep. Jodey Arrington [R-TX19],"Arrington, Jodey (Rep.) [R-TX19]",Republican,TX,19,1/3/2017,1/3/2019,
44267,Rep. Scott Taylor [R-VA2],"Taylor, Scott (Rep.) [R-VA2]",Republican,VA,2,1/3/2017,1/3/2019,
44268,Rep. Donald McEachin [D-VA4],"McEachin, Donald (Rep.) [D-VA4]",Democrat,VA,4,1/3/2017,1/3/2019,
44269,Rep. Thomas Garrett [R-VA5],"Garrett, Thomas (Rep.) [R-VA5]",Republican,VA,5,1/3/2017,1/3/2019,
44270,Rep. Pramila Jayapal [D-WA7],"Jayapal, Pramila (Rep.) [D-WA7]",Democrat,WA,7,1/3/2017,1/3/2019,
44271,Rep. Mike Gallagher [R-WI8],"Gallagher, Mike (Rep.) [R-WI8]",Republican,WI,8,1/3/2017,1/3/2019,
44272,Rep. Liz Cheney [R-WY0],"Cheney, Liz (Rep.) [R-WY0]",Republican,WY,0,1/3/2017,1/3/2019,
44276,Rep. Ron Estes [R-KS4],"Estes, Ron (Rep.) [R-KS4]",Republican,KS,4,4/25/2017,1/3/2019,
