id,displayName,sortName,party,state,tenureStartDate,nextElectionDate,grade
43815,Sen. John Boozman [R-AR],"Boozman, John (Sen.) [R-AR]",Republican,AR,1/3/2017,1/3/2023,
43820,Sen. Richard Burr [R-NC],"Burr, Richard (Sen.) [R-NC]",Republican,NC,1/3/2017,1/3/2023,
43855,Sen. John “Johnny” Isakson [R-GA],"Isakson, John “Johnny” (Sen.) [R-GA]",Republican,GA,1/3/2017,1/3/2023,
43880,Sen. Jerry Moran [R-KS],"Moran, Jerry (Sen.) [R-KS]",Republican,KS,1/3/2017,1/3/2023,
43892,Sen. Robert “Rob” Portman [R-OH],"Portman, Robert “Rob” (Sen.) [R-OH]",Republican,OH,1/3/2017,1/3/2023,
43923,Sen. Patrick “Pat” Toomey [R-PA],"Toomey, Patrick “Pat” (Sen.) [R-PA]",Republican,PA,1/3/2017,1/3/2023,
43926,Sen. Chris Van Hollen [D-MD],"Van Hollen, Chris (Sen.) [D-MD]",Democrat,MD,1/3/2017,1/3/2023,
43933,Sen. John Thune [R-SD],"Thune, John (Sen.) [R-SD]",Republican,SD,1/3/2017,1/3/2023,
44042,Sen. Todd Young [R-IN],"Young, Todd (Sen.) [R-IN]",Republican,IN,1/3/2017,1/3/2023,
44057,Sen. James Lankford [R-OK],"Lankford, James (Sen.) [R-OK]",Republican,OK,1/3/2017,1/3/2023,
44063,Sen. Tim Scott [R-SC],"Scott, Tim (Sen.) [R-SC]",Republican,SC,1/3/2017,1/3/2023,
44077,Sen. Richard Blumenthal [D-CT],"Blumenthal, Richard (Sen.) [D-CT]",Democrat,CT,1/3/2017,1/3/2023,
44078,Sen. Marco Rubio [R-FL],"Rubio, Marco (Sen.) [R-FL]",Republican,FL,1/3/2017,1/3/2023,
44081,Sen. Mike Lee [R-UT],"Lee, Mike (Sen.) [R-UT]",Republican,UT,1/3/2017,1/3/2023,
44082,Sen. Ron Johnson [R-WI],"Johnson, Ron (Sen.) [R-WI]",Republican,WI,1/3/2017,1/3/2023,
44088,Sen. Brian Schatz [D-HI],"Schatz, Brian (Sen.) [D-HI]",Democrat,HI,1/3/2017,1/3/2023,
44109,Sen. Tammy Duckworth [D-IL],"Duckworth, Tammy (Sen.) [D-IL]",Democrat,IL,1/3/2017,1/3/2023,
44218,Sen. Kamala Harris [D-CA],"Harris, Kamala (Sen.) [D-CA]",Democrat,CA,1/3/2017,1/3/2023,
44219,Sen. John Kennedy [R-LA],"Kennedy, John (Sen.) [R-LA]",Republican,LA,1/3/2017,1/3/2023,
44220,Sen. Margaret “Maggie” Hassan [D-NH],"Hassan, Margaret “Maggie” (Sen.) [D-NH]",Democrat,NH,1/3/2017,1/3/2023,
44221,Sen. Catherine Cortez Masto [D-NV],"Cortez Masto, Catherine (Sen.) [D-NV]",Democrat,NV,1/3/2017,1/3/2023,
44275,Sen. Luther Strange [R-AL],"Strange, Luther (Sen.) [R-AL]",Republican,AL,2/9/2017,1/3/2021,
