id,question,description,result,externalLink,voteDate
119202,"H.Res. 275: Providing for consideration of the bill (H.R. 1695) to amend title 17, United States Code, to provide additional responsibilities for the Register of Copyrights, and for other purposes.",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h225,2017-04-26T13:53:00
119203,"On Ordering the Previous Question: H.Res. 275: Providing for consideration of the bill (H.R. 1695) to amend title 17, United ...",,Passed,https://www.govtrack.us/congress/votes/115-2017/h224,2017-04-26T13:45:00
119200,"H.R. 876: To reform programs of the Transportation Security Administration, and for other purposes.","On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h223,2017-04-25T19:08:00
119199,H.Res. 187: Relating to efforts to respond to the famine in South Sudan.,"On Motion to Suspend the Rules and Agree, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h222,2017-04-25T18:52:00
119188,H.R. 1219: Supporting America’s Innovators Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h221,2017-04-06T10:31:00
119187,H.R. 1304: Self-Insurance Protection Act,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h220,2017-04-05T15:57:00
119186,Table Appeal of the Ruling of the Chair,,Passed,https://www.govtrack.us/congress/votes/115-2017/h219,2017-04-05T15:45:00
119185,"H.Res. 242: Providing for consideration of the bill (H.R. 1219) to amend the Investment Company Act of 1940 to expand the investor limitation for qualifying venture capital funds under an exemption from the definition of an investment company, and provid",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h218,2017-04-05T14:05:00
119184,On Ordering the Previous Question: H.Res. 242: Providing for consideration of the bill (H.R. 1219) to amend the Investment Company ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h217,2017-04-05T13:58:00
119182,H.R. 1343: Encouraging Employee Ownership Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h216,2017-04-04T16:57:00
119183,On Motion to Recommit with Instructions: H.R. 1343: Encouraging Employee Ownership Act of 2017,,Failed,https://www.govtrack.us/congress/votes/115-2017/h215,2017-04-04T16:44:00
119179,H.Res. 240: Providing for consideration of the bill (H.R. 1343) to direct the Securities and Exchange Commission to revise its rules so as to increase the threshold amount for requiring issuers to provide certain disclosures relating to compensatory bene,On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h214,2017-04-04T14:30:00
119177,On Ordering the Previous Question: H.Res. 240: Providing for consideration of the bill (H.R. 1343) to direct the Securities and ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h213,2017-04-04T14:21:00
119180,"H.Res. 241: Providing for consideration of the bill (H.R. 1304) to amend the Employee Retirement Income Security Act of 1974, the Public Health Service Act, and the Internal Revenue Code of 1986 to exclude from the definition of health insurance coverage",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h212,2017-04-04T14:13:00
119178,On Ordering the Previous Question: H.Res. 241: Providing for consideration of the bill (H.R. 1304) to amend the Employee Retirement ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h211,2017-04-04T14:03:00
119175,H.R. 479: North Korea State Sponsor of Terrorism Designation Act of 2017,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h210,2017-04-03T19:15:00
119174,"H.Res. 92: Condemning North Korea’s development of multiple intercontinental ballistic missiles, and for other purposes.","On Motion to Suspend the Rules and Agree, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h209,2017-04-03T18:52:00
119170,H.R. 1431: EPA Science Advisory Board Reform Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h208,2017-03-30T10:40:00
119169,On Motion to Recommit with Instructions: H.R. 1431: EPA Science Advisory Board Reform Act of 2017,,Failed,https://www.govtrack.us/congress/votes/115-2017/h207,2017-03-30T10:29:00
119167,H.R. 1430: HONEST Act,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h206,2017-03-29T16:54:00
119166,On Motion to Recommit with Instructions: H.R. 1430: HONEST Act,,Failed,https://www.govtrack.us/congress/votes/115-2017/h205,2017-03-29T16:45:00
119165,"H.Res. 233: Providing for consideration of the bill (H.R. 1431) to amend the Environmental Research, Development, and Demonstration Authorization Act of 1978 to provide for Scientific Advisory Board member qualifications, public participation, and for ot",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h204,2017-03-29T13:43:00
